Class;PredefinedType;Name;BuildingStorey;Material;PSET_RÔGGA.RÔGGA_SEÇÃO;PSET_RÔGGA.RÔGGA_DESCRIÇÃO;Width;Thickness;Length;Height;FileName;GlobalId;Ô_CLS_CLASSIFICAÇÃO_SOLIBRI
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746667;36. TAP;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF5h;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746672;36. TAP;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF5m;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746677;36. TAP;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF5r;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746682;36. TAP;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF5w;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746696;37. TP1;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF28;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746701;37. TP1;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF2D;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746706;37. TP1;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF2I;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1746711;37. TP1;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;34p278R$j2VRkD_2bpbF2N;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - CHAMINÉ:CHAMINÉ 0,7X0,7:1747893;RSV;<Unnamed>;;;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;1B2KdGQrT1WuEjX$XLOxc$;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - CHAMINÉ:CHAMINÉ 0,7X0,7:1747934;RSV;<Unnamed>;;;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;1B2KdGQrT1WuEjX$XLOxdK;Bombas de recalque, de drenagem pluvial
IfcBuildingElementProxy;NOTDEFINED;EXC - DUMPER ON OFF:DUMPER ON OFF CIRCULAR:1748132;06. LZR;;Ø250mm;ROG_DIFUS_DUMPER ON/OFF;;;;;PHN21043-CLI-EX-0002-BIM-TOR-GER-MODELO_DA_TORRE-R00.ifc;1B2KdGQrT1WuEjX$XLOxwk;Bombas de recalque, de drenagem pluvial
